Station name,Square Meters,Latitude,Longitude,Data Base Date
(주)에스제이에너지금호강주유소,1677,35.90027939,128.6297351,2023-05-30
(주)한대동부주유소,3766,35.87487943,128.6873082,2023-05-30
경대정문주유소,316,35.88596753,128.6156549,2023-05-30
SK동호주유소,1088,35.86714695,128.7224318,2023-05-30
계명Ⅱ주유소,1167,35.87858232,128.7272869,2023-05-30
국가대표제2주유소,1002,35.87761966,128.6648946,2023-05-30
국제주유소,1161,35.93240989,128.6435552,2023-05-30
극동주유소,2112,35.87503406,128.6209855,2023-05-30
글로벌제2주유소,907,35.94023239,128.6453921,2023-05-30
대성산업(주)강촌대성주유소,1869,35.87551109,128.6760842,2023-05-30
대원석유(주)대신주유소,1670,35.87019397,128.7297791,2023-05-30
대원주유소,640,35.88292961,128.6448815,2023-05-30
대한주유소,662,35.92830385,128.6411393,2023-05-30
덕산주유소,525,35.99143515,128.6163976,2023-05-30
동대구고속주유소,664,35.87685868,128.6784546,2023-05-30
동대구주유소,451,35.87262147,128.738129,2023-05-30
동대구터미널주유소,1389,35.87297959,128.6869706,2023-05-30
동도주유소,1443,35.87228309,128.6905414,2023-05-30
동북주유소,666,35.95305388,128.6343559,2023-05-30
동원주유소,795,35.91603598,128.6413281,2023-05-30
동화주유소,937,35.9879081,128.6943221,2023-05-30
두바이주유소,1507,35.87176235,128.7473234,2023-05-30
만남주유소,665,35.96814745,128.6298646,2023-05-30
문화주유소,1081,35.86907966,128.6289893,2023-05-30
미니주유소,407,35.88742889,128.6479086,2023-05-30
반야월주유소,785,35.8723032,128.710242,2023-05-30
방촌주유소,1093,35.87807956,128.6745335,2023-05-30
백두산주유소,954,35.89625931,128.6399829,2023-05-30
삼원주유소,1003,35.8971326,128.6401672,2023-05-30
송정주유소,870,35.87231699,128.7363433,2023-05-30
신암로주유소,1487,35.88107312,128.6121836,2023-05-30
안심주유소,1447,35.87174743,128.7366259,2023-05-30
영진주유소,865,35.88721314,128.65113,2023-05-30
우성주유소,2713,35.86577059,128.7114349,2023-05-30
율하주유소,1139,35.8730224,128.6998279,2023-05-30
응답하라8051주유소,665,35.96064675,128.6319224,2023-05-30
일호self주유소,593,35.87316031,128.6379584,2023-05-30
㈜남해토탈 본점주유소,1814,35.88377971,128.6609037,2023-05-30
㈜미니에너지 직영주유소,999,35.87488558,128.6767212,2023-05-30
주식회사 에이치씨대하 해안주유소,1017,35.91313666,128.6407839,2023-05-30
지성주유소,771,35.88432754,128.6579843,2023-05-30
지에스칼텍스㈜ 대구혁신도시주유소,1722,35.87842493,128.7084141,2023-05-30
팔공김치주유소,1643,35.87958215,128.6717886,2023-05-30
팔공산(IC)주유소,450,35.89648203,128.6404721,2023-05-30
현대오일뱅크(주)직영 대구공항셀프주유소,923,35.89589294,128.6410766,2023-05-30
현대오일뱅크(주)직영 동진주유소,2013,35.87753589,128.6782389,2023-05-30
효동로주유소,635,35.88335134,128.6435559,2023-05-30
효목주유소,1028,35.87928869,128.6346741,2023-05-30
